id,date_received,body,status
4126813,2024-09-09 02:11:23.402549+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 453518, ""date"": 1725840683, ""text"": ""1 апреля"", ""from_id"": 148101267, ""post_id"": 452109, ""can_delete"": 1, ""post_owner_id"": -29038248}, ""secret"": ""29038248qFg45gh45h4h4h4hs4t"", ""event_id"": ""9911da7984df4c753032585aef3718e69712381b"", ""group_id"": 29038248}",3
4128499,2024-09-09 17:12:57.796274+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 288007, ""date"": 1725894777, ""text"": ""18 августа"", ""from_id"": 787088029, ""post_id"": 286182, ""can_delete"": 1, ""post_owner_id"": -49575094}, ""event_id"": ""18ef0e2a73eecc2bb4b4b1ab1f477031fb9aa86b"", ""group_id"": 49575094}",3
4128511,2024-09-09 17:20:52.537104+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 288011, ""date"": 1725895252, ""text"": ""3 ноября"", ""from_id"": 33924337, ""post_id"": 286182, ""can_delete"": 1, ""post_owner_id"": -49575094}, ""event_id"": ""8ec7a83d7f8d26cc0fc4af4b4dd179c4632dde05"", ""group_id"": 49575094}",3
4126834,2024-09-09 02:47:06.993159+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 287638, ""date"": 1725842826, ""text"": ""6 марта"", ""from_id"": 633945495, ""post_id"": 286182, ""can_delete"": 1, ""post_owner_id"": -49575094}, ""event_id"": ""6de99ccb1ba1ac55193eef6bbb4849d877ea57a2"", ""group_id"": 49575094}",3
4128533,2024-09-09 17:32:59.983755+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 288013, ""date"": 1725895979, ""text"": ""22 июня"", ""from_id"": 645522585, ""post_id"": 286182, ""can_delete"": 1, ""post_owner_id"": -49575094}, ""event_id"": ""c2509cbe47c0cf4352edf4ed6a2cc28c54202cb5"", ""group_id"": 49575094}",3
4126856,2024-09-09 03:12:41.900713+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 287643, ""date"": 1725844361, ""text"": ""16 июля"", ""from_id"": 184906675, ""post_id"": 286182, ""can_delete"": 1, ""post_owner_id"": -49575094}, ""event_id"": ""49e0e64755262fd2620fbd6f1ac30d009a5856d7"", ""group_id"": 49575094}",3
4126859,2024-09-09 03:17:02.455963+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 287645, ""date"": 1725844622, ""text"": ""7 сентября"", ""from_id"": 70566783, ""post_id"": 286182, ""can_delete"": 1, ""post_owner_id"": -49575094}, ""event_id"": ""c63c99d767ff8cd1dbe47db07109953432a2fb06"", ""group_id"": 49575094}",3
4126875,2024-09-09 03:40:35.666612+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 287649, ""date"": 1725846035, ""text"": ""9 декабря"", ""from_id"": 153853855, ""post_id"": 286182, ""can_delete"": 1, ""post_owner_id"": -49575094}, ""event_id"": ""110e6a4745a15e84ff4d53af837ab36f53321ba0"", ""group_id"": 49575094}",3
4126885,2024-09-09 03:48:10.699155+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 287651, ""date"": 1725846490, ""text"": ""20 января"", ""from_id"": 3032708, ""post_id"": 286182, ""can_delete"": 1, ""post_owner_id"": -49575094}, ""event_id"": ""3359470ef0ab47bfe376a8a06f42d8c63fb8e718"", ""group_id"": 49575094}",3
4128576,2024-09-09 17:56:15.357084+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 288019, ""date"": 1725897375, ""text"": ""11 ноября"", ""from_id"": 8112949, ""post_id"": 286182, ""can_delete"": 1, ""post_owner_id"": -49575094}, ""event_id"": ""25497cfab74a74181139da3de871d3b3c928d1f1"", ""group_id"": 49575094}",3
4128584,2024-09-09 17:59:36.602813+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 142654, ""date"": 1725897576, ""text"": ""27 августа"", ""from_id"": 203152586, ""post_id"": 142163, ""can_delete"": 1, ""post_owner_id"": -54365538}, ""secret"": ""54365538qFf3f3g3GGh44h4ju5u"", ""event_id"": ""997fe29e0b6de134685186541af333a530e07fcd"", ""group_id"": 54365538}",3
4126903,2024-09-09 04:03:14.568712+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 287653, ""date"": 1725847394, ""text"": ""9 сентября"", ""from_id"": 151295557, ""post_id"": 286182, ""can_delete"": 1, ""post_owner_id"": -49575094}, ""event_id"": ""7c2e0bf9d3aee82c6ff53889956c5fd00afbeb30"", ""group_id"": 49575094}",3
4128594,2024-09-09 18:03:31.603592+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 288023, ""date"": 1725897811, ""text"": ""1 декабря"", ""from_id"": 24088569, ""post_id"": 286182, ""can_delete"": 1, ""post_owner_id"": -49575094}, ""event_id"": ""eeeedbe77d31eb748fe4fea6b87ab4a9436d22bb"", ""group_id"": 49575094}",3
4126920,2024-09-09 04:11:00.564175+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 287663, ""date"": 1725847860, ""text"": ""16 Ноября"", ""from_id"": 160448103, ""post_id"": 286182, ""can_delete"": 1, ""post_owner_id"": -49575094}, ""event_id"": ""1eb3d90ca574eb5c5148a08cfe5666c94d25ebc8"", ""group_id"": 49575094}",3
4126922,2024-09-09 04:11:24.97198+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 287665, ""date"": 1725847884, ""text"": ""16 Ноября"", ""from_id"": 160448103, ""post_id"": 286182, ""can_delete"": 1, ""post_owner_id"": -49575094}, ""event_id"": ""c7fe19984149c4d30ec39b541f978c1ecfcf93dc"", ""group_id"": 49575094}",3
4126933,2024-09-09 04:20:00.400961+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 287669, ""date"": 1725848400, ""text"": ""08 декабря"", ""from_id"": 240863817, ""post_id"": 286182, ""can_delete"": 1, ""post_owner_id"": -49575094}, ""event_id"": ""eff5b9488c40e75bf0ccaef2eb77f04226d2d4f6"", ""group_id"": 49575094}",3
4128621,2024-09-09 18:17:10.627413+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 1171869, ""date"": 1725898630, ""text"": ""[id866424334|Доберман], благодарю!"", ""from_id"": 362827964, ""post_id"": 1166908, ""can_delete"": 1, ""post_owner_id"": -23639186, ""reply_to_user"": 866424334, ""reply_to_comment"": 1171830}, ""secret"": ""23639186qFf32f2g34gh54h4h5"", ""event_id"": ""acb30e60296a02731007a78b9cad13abd4c9c4be"", ""group_id"": 23639186}",3
4128625,2024-09-09 18:17:58.653924+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 1171870, ""date"": 1725898678, ""text"": ""[id866424334|Доберман], поддерживаю!"", ""from_id"": 362827964, ""post_id"": 1166908, ""can_delete"": 1, ""post_owner_id"": -23639186, ""reply_to_user"": 866424334, ""reply_to_comment"": 1171830}, ""secret"": ""23639186qFf32f2g34gh54h4h5"", ""event_id"": ""fb8336e886c329329633893dd5ebb20e26a25bda"", ""group_id"": 23639186}",3
4126949,2024-09-09 04:30:17.348568+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 287671, ""date"": 1725849017, ""text"": ""28 июля"", ""from_id"": 46249440, ""post_id"": 286182, ""can_delete"": 1, ""post_owner_id"": -49575094}, ""event_id"": ""e06db025b666d6b4433bd9d831dccd90f8b3bb1a"", ""group_id"": 49575094}",3
4131738,2024-09-09 21:24:41.484161+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 143449, ""date"": 1725909881, ""text"": ""Кольцо"", ""from_id"": 75886021, ""post_id"": 143287, ""can_delete"": 1, ""post_owner_id"": -54365581}, ""secret"": ""54365581qFf34g45g54h4"", ""event_id"": ""2830a3194ee0d9b15d2b875d2a4987366a8651b2"", ""group_id"": 54365581}",3
4131739,2024-09-09 21:24:41.675073+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 143450, ""date"": 1725909881, ""text"": ""🌸 Ваша супружеская жизнь будет полна любви и нежности, где каждый день вы будете радовать друг друга. Напишите ваш знак зодиака в комментариях ниже, чтобы получить подробный гороскоп."", ""from_id"": -54365581, ""post_id"": 143287, ""can_delete"": 1, ""post_owner_id"": -54365581, ""reply_to_user"": 75886021, ""reply_to_comment"": 143449, ""is_from_post_author"": true}, ""secret"": ""54365581qFf34g45g54h4"", ""event_id"": ""fabed0ccd87667e0050a2a4abc384f0ef45a319f"", ""group_id"": 54365581}",3
4131740,2024-09-09 21:24:58.042323+02,"{""v"": ""5.74"", ""type"": ""wall_reply_new"", ""object"": {""id"": 142799, ""date"": 1725909897, ""text"": ""Кольцо"", ""from_id"": 154426117, ""post_id"": 142665, ""can_delete"": 1, ""post_owner_id"": -54365538}, ""secret"": ""54365538qFf3f3g3GGh44h4ju5u"", ""event_id"": ""1546c9018cfff6b96001545389a50564ffed8e53"", ""group_id"": 54365538}",3
